name,latitude,longitude,population
Akaa,61.167408,23.867642,17048
Alajärvi,63.00285,23.803185,10089
Alavieska,64.158003,24.299759,2687
Alavus,62.586607,23.617282,12077
Asikkala,61.172331,25.538409,8331
Askola,60.526205,25.591785,5084
Aura,60.655292,22.593584,3984
Brändö,60.41338,21.044081,472
Eckerö,60.21344,19.626181,934
Enonkoski,62.091052,28.922629,1488
Enontekiö,68.385909,23.60561,1876
Espoo,60.20678,24.65578,267672
Eura,61.131415,22.14648,12221
Eurajoki,61.203184,21.738904,5946
Evijärvi,63.362182,23.459548,2614
Finström,60.229252,19.98921,2529
Forssa,60.824104,23.587275,17472
Föglö,60.03001,20.38789,561
Geta,60.375191,19.848301,497
Haapajärvi,63.745705,25.335395,7459
Haapavesi,64.1409,25.367871,7171
Hailuoto,65.0132,24.728905,995
Halsua,63.465301,24.165394,1224
Hamina,60.570992,27.189425,20956
Hammarland,60.216461,19.73711,1534
Hankasalmi,62.396007,26.43071,5274
Hanko,59.82332,22.96822,8943
Harjavalta,61.31049,22.11737,7331
Hartola,61.58064,26.00777,3027
Hattula,61.05386,24.37172,9743
Hausjärvi,60.7889,25.020735,8772
Heinola,61.202291,26.036436,19635
Heinävesi,62.423315,28.624105,3606
Helsinki,60.17116,24.93258,624462
Hirvensalmi,61.646105,26.772059,2308
Hollola,60.985714,25.537673,21853
Honkajoki,62.00408,22.232362,1791
Huittinen,61.188817,22.688858,10480
Humppila,60.933793,23.36465,2414
Hyrynsalmi,64.67933,28.48336,2456
Hyvinkää,60.629295,24.8574,46415
Hämeenkoski,61.021995,25.15348,2103
Hämeenkyrö,61.653732,23.175646,10639
Hämeenlinna,60.996895,24.466265,67994
Ii,65.322485,25.377725,9665
Iisalmi,63.55664,27.19146,22030
Iitti,60.8942,26.33842,6930
Ikaalinen,61.761652,23.069712,7253
Ilmajoki,62.72764,22.58856,12170
Ilomantsi,62.666899,30.937516,5420
Imatra,61.213404,28.825477,27936
Inari,68.906185,27.027515,6809
Inkoo,60.04602,24.005355,5551
Isojoki,62.114536,21.957375,2161
Isokyrö,62.998262,22.320665,4814
Jalasjärvi,62.491804,22.745358,7831
Janakkala,60.920625,24.649785,16847
Joensuu,62.604225,29.759265,75278
Jokioinen,60.791253,23.498402,5471
Jomala,60.15871,19.943541,4604
Joroinen,62.182461,27.820605,5144
Joutsa,61.742449,26.115608,4735
Juankoski,63.06517,28.32945,4843
Juuka,63.24358,29.255269,5087
Juupajoki,61.797221,24.435872,2011
Juva,61.894588,27.866609,6582
Jyväskylä,62.24049,25.751295,136574
Jämijärvi,61.822029,22.686075,1973
Jämsä,61.865018,25.176749,21675
Järvenpää,60.471294,25.089955,40645
Kaarina,60.41014,22.384209,32369
Kaavi,62.97441,28.486644,3204
Kajaani,64.225305,27.729545,37707
Kalajoki,64.259436,23.944601,12627
Kangasala,61.463485,24.0735,30539
Kangasniemi,62.005273,26.647527,5661
Kankaanpää,61.80307,22.39508,11826
Kannonkoski,62.97855,25.2664,1469
Kannus,63.903475,23.923265,5617
Karijoki,62.305767,21.699507,1389
Karkkila,60.534325,24.226075,8973
Karstula,62.881293,24.799977,4277
Karvia,62.14048,22.56376,2483
Kaskinen,62.380215,21.238619,1305
Kauhajoki,62.454823,22.213747,13941
Kauhava,63.105971,23.057789,16846
Kauniainen,60.211642,24.729048,9422
Kaustinen,63.547708,23.693802,4294
Keitele,63.178253,26.341063,2389
Kemi,65.736605,24.567065,21844
Kemijärvi,66.718941,27.389046,7829
Keminmaa,65.795675,24.52772,8429
Kemiönsaari,60.16945,22.73735,6926
Kempele,64.912102,25.507429,16978
Kerava,60.401685,25.128357,35305
Keuruu,62.259475,24.696065,10147
Kihniö,62.198965,23.189565,2059
Kinnula,63.368945,24.974996,1756
Kirkkonummi,60.12315,24.441655,38435
Kitee,62.103875,30.135511,10909
Kittilä,67.65684,24.9084,6443
Kiuruvesi,63.65175,26.61161,8676
Kivijärvi,63.119735,25.081655,1222
Kokemäki,61.255985,22.346685,7647
Kokkola,63.838455,23.13003,47424
Kolari,67.33146,23.7829,3844
Konnevesi,62.621835,26.267955,2794
Kontiolahti,62.76317,29.847251,14754
Korsnäs,62.78509,21.18869,2210
Koski Tl,60.65668,23.135345,2419
Kotka,60.46631,26.946485,54419
Kouvola,60.871255,26.703185,86154
Kristiinankaupunki,62.271923,21.394115,6819
Kruunupyy,63.731035,23.03892,6672
Kuhmo,64.121605,29.50632,8878
Kuhmoinen,61.564801,25.178958,2354
Kumlinge,60.314054,20.704044,323
Kuopio,62.89313,27.676125,111704
Kuortane,62.808785,23.513745,3721
Kurikka,62.622079,22.390229,14073
Kustavi,60.545117,21.356268,894
Kuusamo,65.977665,29.17215,15756
Kyyjärvi,63.044776,24.558774,1389
Kärkölä,60.87353,25.272664,4626
Kärsämäki,63.981404,25.75745,2677
Kökar,59.92107,20.908501,252
Köyliö,61.117898,22.308105,2637
Lahti,60.982995,25.65739,103836
Laihia,62.97807,22.01341,8079
Laitila,60.874496,21.696631,8531
Lapinjärvi,60.624626,26.219344,2777
Lapinlahti,63.366375,27.391945,10038
Lappajärvi,63.225242,23.629999,3237
Lappeenranta,61.05534,28.189015,72835
Lapua,62.972328,23.003516,14671
Laukaa,62.417359,25.946853,18787
Lemi,61.066706,27.800534,3095
Lemland,60.069302,20.09314,1967
Lempäälä,61.315624,23.752397,22385
Leppävirta,62.489596,27.76713,9984
Lestijärvi,63.522005,24.66676,808
Lieksa,63.314515,30.030851,11945
Lieto,60.505772,22.463812,19236
Liminka,64.80177,25.43184,9839
Liperi,62.52556,29.383436,12337
Lohja,60.2511,24.069765,47489
Loimaa,60.85407,23.038995,16537
Loppi,60.71954,24.442365,8233
Loviisa,60.456844,26.223666,15396
Luhanka,61.794222,25.698467,761
Lumijoki,64.836995,25.189025,2075
Lumparland,60.117008,20.257311,408
Luoto,63.70996,22.760435,5127
Luumäki,60.952165,27.756825,4905
Luvia,61.361676,21.62292,3345
Maalahti,62.94592,21.560395,5559
Maarianhamina,60.114182,19.93779,11470
Marttila,60.585304,22.898861,2049
Masku,60.574737,22.098343,9737
Merijärvi,64.294595,24.445745,1142
Merikarvia,61.865629,21.503468,3216
Miehikkälä,60.671575,27.700618,2104
Mikkeli,61.68674,27.271265,54635
Muhos,64.804925,26.01023,9025
Multia,62.40972,24.799535,1737
Muonio,67.956815,23.67901,2367
Mustasaari,63.119705,21.70406,19295
Muurame,62.13533,25.669128,9746
Mynämäki,60.678033,21.991107,7888
Myrskylä,60.669951,25.854529,1977
Mäntsälä,60.62147,25.305248,20653
Mänttä-Vilppula,62.03001,24.62209,10664
Mäntyharju,61.41808,26.869615,6213
Naantali,60.46513,22.033525,18916
Nakkila,61.36619,22.011645,5651
Nastola,60.936788,25.947157,14858
Nivala,63.929419,24.961603,10911
Nokia,61.480752,23.504198,33005
Nousiainen,60.59747,22.085055,4852
Nurmes,63.553481,29.11571,8039
Nurmijärvi,60.463125,24.806005,41737
Närpiö,62.477885,21.33744,9388
Orimattila,60.801865,25.733415,16307
Oripää,60.85864,22.692045,1397
Orivesi,61.68487,24.358665,9494
Oulainen,64.259667,24.812921,7668
Oulu,65.0103,25.473505,197408
Outokumpu,62.73283,29.042715,7156
Padasjoki,61.34781,25.235023,3170
Paimio,60.443621,22.708334,10624
Paltamo,64.407416,27.838446,3526
Parainen,60.305691,22.29858,15476
Parikkala,61.55702,29.501105,5304
Parkano,62.010322,23.0171,6787
Pedersören kunta,63.595305,22.80812,11095
Pelkosenniemi,67.110002,27.516146,953
Pello,66.77385,23.96518,3650
