SDP,VAS,KOK,KES,RKP,KRD,VIH,PER,MUU
25.8,9.5,20.2,24.4,4.6,4.3,9.4,0.2,1
25.5,9.5,18.8,24.6,4.3,3.8,9.9,0.6,2.1
27.4,9.3,19.4,24.7,4,3.4,9.4,0.8,1
25.1,10.2,19.8,24.3,4.5,3.9,9.5,0.9,1.3
26.4,9.5,20.6,22,4.6,3.4,10.8,0.5,1.5
23.9,9.8,21.1,22.1,5.2,4.2,9.7,0.9,1.5
24.1,9.2,19.3,23.2,4.4,4.2,12.1,0.8,2.1
22.9,9.7,19.9,22.4,4.2,4.8,12.3,0.7,1.6
23.7,9.9,19.2,22.8,4.7,3.7,12,1,2
21.3,10.1,19.6,23.5,4,4.2,12.6,0.5,3.3
21.4,9.8,20.2,24.4,3.9,3.8,12.3,0.9,2.5
22.7,10,18.7,23.9,4.2,4.6,12.4,0.4,2.4
22,10.2,19.6,24,4,4.5,13.3,0.8,0.6
23.3,8.7,19.8,23.4,4.1,4.5,13.7,0.5,2
22.5,8.5,18.7,24.4,4,4.5,14.5,1.2,1.7
23.4,9.3,19.9,23.6,4,4.6,13.7,1,0.5
21.4,9.1,21,23.9,4.2,4.1,13.9,1.6,0.8
22.2,10.6,19.4,23,3.8,5.1,13.5,0.6,1.8
24,9,20.2,23.1,4,4.4,12.4,1.2,1.7
24.7,8.8,18.7,23.2,4.1,4.6,12.3,1.1,2.5
23.8,8.1,20,23.4,4.1,4.1,12.5,1.2,2.8
25,9.1,21.2,21.9,3.9,4.6,11.4,1.4,1.5
24.6,8.3,20.9,21.6,3.9,4,12.4,1.5,2.8
24,9.7,20.5,22.8,4,4.2,12.4,0.8,1.6
26.4,8.9,19.3,22.5,3.8,4.8,11.1,0.9,2.4
25.1,8.9,18.5,22.6,4,4.3,13.6,1.6,1.4
24.5,8.1,20.6,22.7,4,3.9,12.8,1,2.4
25,8.3,18.5,24,4.3,4.4,12.3,1.3,1.9
23.7,9.7,19.3,22.9,4,4.4,12.1,1,2.9
22.8,10.1,19.4,22.7,4.7,4.2,12.8,1.6,1.7
25.4,7.4,19.6,24,4.5,4.1,12.5,1.5,1
24.1,9.3,18.9,23,4.7,4,13.1,1.2,1.7
24.7,8.5,18.3,24.4,4.2,4.5,12.5,1.1,1.8
25.6,9.3,19.3,23.7,4.3,3.9,11.5,1.4,1
23.8,10.3,17.5,24.4,4.2,5,10.8,1.9,2.1
22.9,9.4,20.7,24.8,4.5,4.9,8,1.1,3.7
27.7,9.4,17.2,23.5,3.7,4.9,9.6,3.1,0.9
26.6,8.9,17.8,23.8,3.7,4.2,10,2.8,2.2
25.9,8.9,18,23.4,3.6,5.1,10.4,3,1.7
27.7,8.9,17.1,22.5,3.7,4.6,11.6,2.9,1
26.2,8.3,17.6,22.6,3.7,5.4,12.1,2.9,1.2
25.7,8.3,16.4,23.7,4,4.8,12.8,2.3,2
26.9,8.8,17.3,24.5,3.9,3.9,11.4,2.4,0.9
27.5,7.5,17.1,25.4,3.6,4.3,9.9,3.3,1.4
25.6,9.2,17.9,24.4,4.2,5.7,10.3,1.6,1.1
26.4,9.2,16.6,24.1,4.2,6.1,9.6,2.2,1.6
25.5,9.2,17.8,23.8,3.9,5.1,10.7,2.2,1.8
25.2,9.9,17.8,24.3,3.5,5.3,10.6,1.5,1.9
25.5,9.1,17.7,23.5,4.4,5.5,9.9,2.1,2.3
25.3,9.3,17.4,24.8,4,5,9.8,2.2,2.2
25.5,9.2,17,25.2,4.1,5.1,9.6,1.8,2.5
25,9.8,17.8,24.7,4,5.3,9.8,1.8,1.8
25.1,10,18.3,24.1,4.1,5.6,9.3,1.3,2.2
24.9,9.8,19.9,24.4,4.2,5.6,8.7,1.4,1.1
24.6,9.8,20.1,24,4.1,5.7,9.3,2,0.4
26,9.1,18.9,25.2,4.1,5.1,8.7,1.8,0.9
25.4,9,20.1,24.7,3.8,5,9.4,1.7,0.9
25.5,9.3,18.9,24.7,4.4,5.6,9.6,1.9,0.1
24.7,9.2,19.8,24.1,4.8,5.2,9.1,1.7,1.4
25.6,8.8,21,24.2,4.1,5.1,9,1.6,0.6
25.3,9.2,20.1,23.8,4.1,5.4,9.2,1.9,1
25.8,9.4,20.3,23.3,4.1,5,9.8,2,0.3
25.6,9.7,19.7,24.1,4,5.4,9.7,1.7,0.1
26.2,8.2,19.7,23.9,4.2,5.9,9.1,1.9,0.9
24.7,9.5,19.9,23.1,4.2,5.6,10.1,2.2,1
25.5,8.5,19.8,22.9,4,6.1,10,2.2,1
26.3,9.1,20.2,22.1,4.2,5.7,9,3.1,0.3
25.2,9.4,20.9,22.8,4.5,4.5,9.1,2.7,0.9
25.6,8.6,21.9,23.5,4.2,4.9,9.1,2.2,0
25.2,8.6,21.5,24.3,3.2,5.3,9.4,2.3,0.2
25.2,8.2,20.8,24,4.6,5.3,8.7,2.6,0.6
23.9,9.1,20.9,24.4,3.8,5.4,10,2.3,0.2
24.4,8.7,20.8,23.7,3.8,5.9,10.4,2.2,0.1
24.8,8.8,20.6,24.1,3.8,5.4,10,2.2,0.3
24.6,10.1,20,23.7,3.7,5.4,9.4,2.9,0.2
24.8,9.6,19.8,23.3,4,5.7,9.8,3,0
25.2,8.5,20.5,23.6,4.1,5.5,10,2.6,0
23.8,9.5,20.3,24.2,4,5.4,8.9,3,0.9
22.3,8.9,21.9,24.6,4.3,5.1,8.2,2.6,2.1
21.3,9.3,20.4,24.7,5,5.1,9.7,2.5,2
20.7,8.2,24.1,23,4.4,4.5,9.4,4.5,1.2
21.7,8.4,23.4,22.4,4.1,4.7,10.1,4.3,0.9
21.2,8.5,23.9,22.8,4.4,4.7,9.3,4.3,0.9
21.2,8.5,23.6,22.3,4.5,4.6,9.4,4.7,1.2
21.6,8.1,23.2,22.7,4.5,4.7,9.4,4.6,1.2
21.8,7.9,22.8,22.6,4.4,4.8,9.8,4.8,1.1
22.3,8.4,22.3,22.6,4.6,4.4,9.7,5,0.7
22.5,8.5,22.7,22.3,4.1,4.6,9.6,4.5,1.2
21.6,8.4,22.9,22.5,4.3,4.7,9.8,4.7,1.1
22.5,8.3,23.2,22,4,4.3,9.9,4.8,1
21.5,8.5,22.5,22.3,4.1,4.7,10,5.2,1.2
21.8,8.3,22.9,21.7,4.4,4.5,9.9,5.2,1.3
22.4,8.3,22.3,22.2,4.1,4.4,9.6,5,1.7
21.4,8.7,22.5,21.6,4.6,4.3,9.7,5.5,1.7
20.4,8.3,22,22,4.4,4.8,10.1,5.9,2.1
21.8,8.9,22.4,22.1,4.6,4.1,9.7,3.8,2.6
21.7,8.7,22,22.1,4.4,3.8,10.2,4.5,2.6
20.6,8.4,23.4,21.2,4.3,4.8,9.7,5.2,2.4
21.6,7.8,23.5,21.6,4.4,3.7,9.7,6.3,1.4
20.2,8.2,24.2,20.7,4.1,3.8,10.1,7.1,1.6
20,7.6,25.1,19.2,4.4,4,10,8.3,1.4
19.9,7.5,25.2,19.6,4.3,3.9,10.2,8.1,1.3
19.6,8,24.4,20.3,4.2,3.7,10.3,7.8,1.7
20.9,8.1,23.3,19.2,4,3.9,10.1,8.9,1.6
21.4,7.4,23.3,19,3.5,3.9,10.9,9.2,1.4
21.6,8.1,23.1,18.6,4.2,4.1,10.6,8.2,1.5
20.9,7.5,23.4,19.8,3.4,3.8,10.8,8.6,1.8
19.4,7.3,22.5,19.5,4.2,4.5,11.8,9.1,1.7
19.3,7.9,22.2,19.7,4.3,4.8,12.1,8.1,1.6
20.5,7.6,23.1,19.4,3.8,4,11,8.8,1.8
20.3,8,22.4,20.4,4,4.3,11,7.8,1.8
20.9,7.8,23.1,19.9,4,4.4,11.2,7.3,1.4
20.3,8.5,23.1,20.1,4.1,4.2,10.6,7.7,1.4
