date	length	time	hrate	speed
20140528	5.3	2171	147	410
20140531	5.3	2249	141	424
20140603	5.5	2137	144	389
20140605	5.5	2181	148	397
20140607	10.5	5308	136	506
20140610	5.4	2306	146	427
20140612	5.5	2354	141	428
20140617	5.5	2362	148	429
20140624	5.5	2606	136	474
20140626	5.5	2066	156	376
20140703	5.5	2332	143	424
20140715	10.5	4887	155	465
20140721	12.2	5338	154	438
20140723	3	1603	135	534
20140724	3.6	1794	126	498
20140725	3.1	1575	126	508
20140730	5.4	1781	172	330
20140802	15.9	7442	146	468
20140809	9.2	4738	129	515
20140813	9.1	4066	137	447
20140816	5.4	2622	115	486
20140819	5.5	2215	140	403
20140821	5.5	2065	147	375
20140828	5.5	2286	143	416
20140830	14.8	6675	151	451
